"","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq","Model"
"243",0.000559051689038261,0.000579700427204571,0.0754113402118151,0.000382737540017622,0.10040526874948,0.000110872603056486,0.600996596630498,"Dry SR+VI"
"244",-6.72823804754666e-05,0.000609758889131366,0.0791983369230405,0.00040337686496912,0.105609838563244,0.000124810606030588,0.561375198963457,"Dry VI"
"245",0.0010145410954336,0.00054561473088965,0.07085836076944,0.00036104710490325,0.094505539201037,9.83809764514044e-05,0.645702660351321,"Dry & Wet SR"
"246",0.00118150649249766,0.000546299544465533,0.0709889974665428,0.000361244057526123,0.0946260790675844,9.83056308875865e-05,0.644820606824943,"Dry & Wet SR+VI"
"247",0.000137534735047019,0.000592768534250788,0.0771346731931219,0.000391199032353264,0.10266719155927,0.000114962285269053,0.583138251064368,"Dry & Wet VI"
"248",0.000391809054985909,0.000809321492624075,0.109437229405764,0.000505730040311828,0.140174469374692,0.00017863116904943,0.239158672261811,"PALSAR"
"249",0.000832468652245468,0.000567873281581211,0.0738492247507986,0.000375101024934499,0.0983587818242149,0.000106610584202108,0.616196288948356,"PALSAR & Dry SR"
"250",0.00113296171335692,0.000582268796429867,0.0758513177539739,0.000383778852753303,0.100854915929854,0.000112360016465248,0.5965424163149,"PALSAR & Wet SR"
"251",0.00106618669712364,0.000544357912808409,0.0707441375379119,0.000359899813831641,0.0942884416040083,9.75977717520655e-05,0.647420097552292,"PALSAR & Wet+Dry SR"
"252",0.00121864844248861,0.000544536982358631,0.0706710535721185,0.000360664671714182,0.0943213009752483,9.79486971110252e-05,0.647092327186337,"All"
"253",0.000870007213390554,0.000591844684019514,0.0774158460393957,0.00038796684011647,0.102510781151819,0.000114107750855879,0.583321443516283,"Wet SR"
"254",0.000885164390516628,0.000595635322488805,0.0778016180299501,0.000391183305527069,0.103167422547109,0.000115701291516706,0.578006077808268,"Wet SR+VI"
